Round Number,Date,Type,Invitations,CRS Score
134,"January 8, 2020",No Program Specified,"3,400",473
133,"December 19, 2019",No Program Specified,"3,200",469
132,"December 11, 2019",No Program Specified,"3,200",472
131,"November 27, 2019",No Program Specified,"3,600",471
130,"November 13, 2019",No Program Specified,"3,600",472
129,"October 30, 2019",No Program Specified,"3,900",475
128,"October 16, 2019",Federal Skilled Trades,500,357
127,"October 2, 2019",No Program Specified,"3,900",464
126,"September 18, 2019",No Program Specified,"3,600",462
125,"September 4, 2019",No Program Specified,"3,600",463
124,"August 20, 2019",No Program Specified,"3,600",457
123,"August 12, 2019",No Program Specified,"3,600",466
122,"July 24, 2019",No Program Specified,"3,600",459
121,"July 10, 2019",No Program Specified,"3,600",460
120,"June 26, 2019",No Program Specified,"3,350",462
119,"June 12, 2019",No Program Specified,"3,350",465
118,"May 29, 2019",No Program Specified,"3,350",470
117,"May 15, 2019",Federal Skilled Trades,500,332
116,"May 1, 2019",No Program Specified,"3,350",450
115,"April 17, 2019",No Program Specified,"3,350",451
114,"April 3, 2019",No Program Specified,"3,350",451
113,"March 20, 2019",No Program Specified,"3,350",452
112,"March 6, 2019",No Program Specified,"3,350",454
111,"February 20, 2019",No Program Specified,"3,350",457
110,"January 30, 2019",No Program Specified,"3,350",438
109,"January 23, 2019",No Program Specified,"3,900",443
108,"January 9, 2019",No Program Specified,"3,900",449
107,"December 19, 2018",No Program Specified,"3,900",439
106,"December 12, 2018",No Program Specified,"3,900",445
105,"November 28, 2018",No Program Specified,"3,900",445
104,"November 14, 2018",No Program Specified,"3,900",449
103,"October 29, 2018",No Program Specified,"3,900",442
102,"October 15, 2018",No Program Specified,"3,900",440
101,"October 3, 2018",No Program Specified,"3,900",445
100,"September 24, 2018",Federal Skilled Trades,400,284
99,"September 19, 2018",No Program Specified,"3,500",441
98,"September 5, 2018",No Program Specified,"3,900",440
97,"August 22, 2018",No Program Specified,"3,750",440
96,"August 8, 2018",No Program Specified,"3,750",440
95,"July 25, 2018",No Program Specified,"3,750",441
94,"July 11, 2018",No Program Specified,"3,750",442
93,"June 25, 2018",No Program Specified,"3,750",442
92,"June 13, 2018",No Program Specified,"3,750",451
91b,"May 30, 2018",Provincial Nominee Program,200,902
91a,"May 30, 2018",Federal Skilled Trades,500,288
90,"May 23, 2018",No Program Specified,"3,500",440
89,"May 9, 2018",No Program Specified,"3,500",441
88,"April 25, 2018",No Program Specified,"3,500",441
87,"April 11, 2018",No Program Specified,"3,500",444
86,"March 26, 2018",No Program Specified,"3,000",446
85,"March 14, 2018",No Program Specified,"3,000",456
84,"February 21, 2018",No Program Specified,"3,000",442
83,"February 7, 2018",No Program Specified,"3,000",442
82,"January 24, 2018",No Program Specified,"2,750",444
81,"January 10, 2018",No Program Specified,"2,750",446
80,"December 20, 2017",No Program Specified,"2,750",446
79,"December 6, 2017",No Program Specified,"2,750",452
78,"November 15, 2017",No Program Specified,"2,750",439
77,"November 8, 2017",No Program Specified,"2,000",458
76,"November 1, 2017",Federal Skilled Trades,505,241
75,"November 1, 2017",Provincial Nominee Program,290,673
74,"October 18, 2017",No Program Specified,"2,757",436
73,"October 4, 2017",No Program Specified,"2,801",438
72,"September 20, 2017",No Program Specified,"2,871",433
71,"September 6, 2017",No Program Specified,"2,772",435
70,"August 23, 2017",No Program Specified,"3,035",434
69,"August 9, 2017",No Program Specified,"2,991",433
68,"August 2, 2017",No Program Specified,"3,264",441
67,"July 12, 2017",No Program Specified,"3,202",440
66,"June 28, 2017",No Program Specified,"3,409",449
65,"May 31, 2017",No Program Specified,"3,877",413
64,"May 26, 2017",Federal Skilled Trades,400,199
63,"May 26, 2017",Provincial Nominee Program,143,775
62,"May 17, 2017",No Program Specified,"3,687",415
61,"May 4, 2017",No Program Specified,"3,796",423
60,"April 19, 2017",No Program Specified,"3,665",415
59,"April 12, 2017",No Program Specified,"3,923",423
58,"April 5, 2017",No Program Specified,"3,753",431
57,"March 24, 2017",No Program Specified,"3,749",441
56,"March 1, 2017",No Program Specified,"3,884",434
55,"February 22, 2017",No Program Specified,"3,611",441
54,"February 8, 2017",No Program Specified,"3,644",447
53,"January 25, 2017",No Program Specified,"3,508",453
52,"January 11, 2017",No Program Specified,"3,334",459
51,"January 4, 2017",No Program Specified,"2,902",468
50,"December 22, 2016",No Program Specified,"2,878",475
49,"December 16, 2016",No Program Specified,"1,936",497
48,"November 30, 2016",Provincial Nominee Program,559,786
47,"November 16, 2016",No Program Specified,"2,427",470
46,"November 2, 2016",No Program Specified,"2,080",472
45,"October 19, 2016",No Program Specified,"1,804",475
44,"October 12, 2016",No Program Specified,"1,518",484
43,"September 21, 2016",No Program Specified,"1,288",483
42,"September 7, 2016",No Program Specified,"1,000",491
41,"August 24, 2016",No Program Specified,750,538
40,"August 10, 2016",No Program Specified,754,490
39,"July 27, 2016",No Program Specified,755,488
38,"July 13, 2016",No Program Specified,747,482
37,"June 29, 2016",No Program Specified,773,482
36,"June 15, 2016",No Program Specified,752,488
35,"June 1, 2016",No Program Specified,762,483
34,"May 18, 2016",No Program Specified,763,484
33,"May 6, 2016",No Program Specified,799,534
32,"April 20, 2016",No Program Specified,"1,018",468
31,"April 6, 2016",No Program Specified,954,470
30,"March 23, 2016",No Program Specified,"1,014",470
29,"March 9, 2016",No Program Specified,"1,013",473
28,"February 24, 2016",No Program Specified,"1,484",453
27,"February 10, 2016",No Program Specified,"1,505",459
26,"January 27, 2016",No Program Specified,"1,468",457
25,"January 13, 2016",No Program Specified,"1,518",453
24,"January 6, 2016",No Program Specified,"1,463",461
23,"December 18, 2015",No Program Specified,"1,503",460
22,"December 4, 2015",No Program Specified,"1,451",461
21,"November 27, 2015",No Program Specified,"1,559",472
20,"November 13, 2015",No Program Specified,"1,506",484
19,"October 23, 2015",No Program Specified,"1,502",489
18,"October 2, 2015",No Program Specified,"1,530",450
17,"September 18, 2015",No Program Specified,"1,545",450
16,"September 8, 2015",No Program Specified,"1,517",459
15,"August 21, 2015",No Program Specified,"1,523",456
14,"August 7, 2015",No Program Specified,"1,402",471
13,"July 17, 2015",No Program Specified,"1,581",451
12,"July 10, 2015",No Program Specified,"1,516",463
11,"June 26, 2015",No Program Specified,"1,575",469
10,"June 12, 2015",No Program Specified,"1,501",482
9,"May 22, 2015",No Program Specified,"1,361",755
8,"April 17, 2015",No Program Specified,715,453
7,"April 10, 2015",No Program Specified,925,469
6,"March 27, 2015",No Program Specified,"1,637",453
5,"March 20, 2015",No Program Specified,"1,620",481
4,"February 27, 2015",No Program Specified,"1,187",735
3,"February 20, 2015",Canadian Experience Class,849,808
2,"February 7, 2015",No Program Specified,779,818
1,"January 31, 2015",No Program Specified,779,886
